,gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
224,2002860234,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860234?gameHash=75514dacbebfb2b0&tab=overview,WC,2018-W,43376.3545833333,PI,3,8.19,9,Red,ADC,TitaN,KaBuM e-Sports,Kai'Sa,Camille,Heimerdinger,Tahm Kench,Ziggs,Zoe,24.1,0,0,0,0,0,7,0,0,0,0,0,0,0,9.81203333333333,0.0,0.0829875518672199,0.29045643153527,0,10.0925166666667,1,1,0,0,0,0,0,0,0,0,1.0,,0,18.0806,0,1,4,9,0.0,20.7913833333333,0,1,5859,243.112033195021,0.254573104497067,0.238432901620393,12,0.497925311203319,0.17910447761194,6,0.24896265560166,6,6, , ,8093,201.97344398340198,8160,-0.0848442175673297,218,4,0,0,9.21161825726141,3462,3642,-180,5191,5457,-266,3364,3167,197,100,89,11,152,141,11
248,2002860252,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860252?gameHash=cf26f5a499b60521&tab=overview,WC,2018-W,43377.1554513889,PI,4,8.19,9,Red,ADC,iBOY,Edward Gaming,Kai'Sa,Urgot,Skarner,Aatrox,Olaf,Ornn,28.3166666666667,0,1,3,5,11,15,0,0,0,0,0,0,0,5.40368333333333,0.0353148911124191,0.176574455562095,0.918187168922896,0,9.28298333333333,2,1,0,0,0,0,0,0,0,0,1.0,,1,13.447133333333301,1,1,4,6,0.0,25.9501166666667,0,1,6857,242.154208357858,0.124720347769148,0.250679859811853,9,0.31783402001177197,0.101123595505618,12,0.42377869334902896,4,4, , ,11352,268.761859917599,11100,0.0699300699300699,257,22,9,4,9.85285462036492,3583,3031,552,5972,5220,752,3273,2925,348,94,76,18,143,119,24
267,2002860267,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860267?gameHash=6e8b8f3c84120b50&tab=overview,WC,2018-W,43377.234803240695,PI,4,8.19,4,Blue,ADC,Renyu,Infinity Esports,Kai'Sa,Azir,Ornn,Akali,Xin Zhao,Gragas,35.0833333333333,1,11,2,5,24,13,2,1,1,1,0,0,0,6.1674833333333305,0.31353919239905,0.0855106888361045,1.05463182897862,0,22.8024,2,0,0,0,0,0,0,0,0,0,1.0,,1,13.509416666666699,1,1,9,0,1.0,31.49165,1,0,31002,883.6674584323039,0.328143357642601,0.263817218312918,14,0.39904988123515395,0.141414141414141,8,0.22802850356294502,3,4, , ,16717,346.23847980997596,14070,0.0321357645784438,289,16,12,0,8.69358669833729,3237,3576,-339,5423,5914,-491,3118,3295,-177,84,103,-19,132,146,-14
279,2002860275,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860275?gameHash=a4fff3d994906498&tab=overview,WC,2018-W,43377.274525463,PI,4,8.19,4,Blue,ADC,Hjarnan,G2 Esports,Kai'Sa,Ryze,Tahm Kench,LeBlanc,Irelia,Lucian,26.65,1,9,0,3,22,9,2,1,0,0,0,0,0,5.49511666666667,0.33771106941838697,0.0375234521575985,1.16322701688555,0,12.081733333333302,2,0,0,0,0,0,0,0,0,0,0.0,,1,10.7572,1,1,11,0,1.0,23.99415,1,0,15867,595.384615384615,0.266193567869546,0.288175186764188,11,0.41275797373358397,0.12941176470588198,10,0.37523452157598497,4,5, , ,15326,442.342964352721,13200,0.540293480875631,247,27,9,10,10.281425891182,3863,3312,551,6896,4706,2190,3932,3700,232,100,93,7,165,134,31
291,2002860283,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860283?gameHash=58372f121c785fa1&tab=overview,WC,2018-W,43377.30875,PI,4,8.19,4,Blue,ADC,iBOY,Edward Gaming,Kai'Sa,Urgot,Ornn,Nocturne,Galio,Lissandra,24.1166666666667,1,8,0,4,18,2,1,1,0,0,0,1,0,1.8781833333333302,0.331720801658604,0.0,0.8293020041465101,0,10.17315,3,0,0,0,0,0,0,0,0,0,1.0,,1,13.454566666666699,1,1,10,0,1.0,22.0879833333333,1,0,16848,698.60400829302,0.333564315270546,0.291560026057481,10,0.41465100207325506,0.178571428571429,8,0.331720801658604,3,3, , ,13790,437.97595024187996,10825,0.415620641562064,242,21,9,4,10.905321354526599,3643,2950,693,6540,4819,1721,3090,2943,147,93,70,23,153,129,24
315,2002860309,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860309?gameHash=b2f1cb2b443e7947&tab=overview,WC,2018-W,43378.9235763889,PI-KO,1,8.19,4,Blue,ADC,Sneaky,Cloud9,Kai'Sa,Sion,Gragas,Taliyah,LeBlanc,Syndra,26.6666666666667,1,4,0,6,13,5,1,1,0,0,0,1,0,6.20243333333333,0.15,0.0,0.675,0,9.977133333333331,1,2,0,0,0,0,0,0,0,0,0.0,,1,11.362683333333301,0,1,10,1,1.0,22.178533333333302,1,0,12333,462.4875,0.233019063993803,0.257869127516779,9,0.3375,0.11392405063291099,5,0.1875,2,2, , ,12761,345.8025,9700,0.10298102981029801,244,4,4,0,9.3,3506,3401,105,5262,5103,159,3094,3361,-267,91,94,-3,140,142,-2
332,2002860318,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860318?gameHash=7c1486dd0936b9f6&tab=overview,WC,2018-W,43378.9879282407,PI-KO,2,8.19,9,Red,ADC,Sneaky,Cloud9,Kai'Sa,Sion,Gragas,Taliyah,Olaf,Skarner,36.1333333333333,0,0,3,3,6,18,0,0,0,0,0,0,0,7.88153333333333,0.0,0.166051660516605,0.664206642066421,0,10.12055,0,4,0,0,0,0,0,0,0,0,0.0,,0,11.920783333333302,0,0,3,8,1.0,30.7795666666667,1,0,20458,566.1808118081179,0.234524027879677,0.239371618163731,8,0.22140221402214003,0.0701754385964912,16,0.44280442804428005,1,3, , ,13024,230.415498154982,12750,-0.18343722172751603,279,25,18,0,8.41328413284133,2954,3863,-909,5051,6762,-1711,3282,3550,-268,74,100,-26,130,149,-19
363,2002860322,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860322?gameHash=5ac05eef2140db84&tab=overview,WC,2018-W,43379.1023842593,PI-KO,5,8.19,4,Blue,ADC,Sneaky,Cloud9,Kai'Sa,Tahm Kench,Anivia,Varus,Sion,Poppy,29.3833333333333,1,6,1,5,17,8,0,0,0,0,0,0,0,6.37605,0.20419739081111699,0.0,0.850822461712989,0,3.27501666666667,1,3,0,0,0,0,0,0,0,0,1.0,,1,11.0739666666667,0,1,10,1,1.0,24.7529166666667,1,0,18533,630.731707317073,0.326578441910871,0.25501085321456,9,0.30629608621667603,0.0978260869565217,10,0.34032898468519607,2,3, , ,14281,354.244356211004,13225,0.4127708095781071,255,22,8,10,9.427112875779919,3752,3058,694,6022,4683,1339,3099,3103,-4,82,78,4,142,127,15
380,2002860324,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860324?gameHash=7ef9ea247537beaa&tab=overview,WC,2018-W,43379.135902777794,PI-KO,1,8.19,9,Red,ADC,iBOY,Edward Gaming,Kai'Sa,Urgot,Tahm Kench,Aatrox,Varus,Olaf,27.7,1,6,0,4,20,2,1,0,0,0,1,0,0,3.68791666666667,0.216606498194946,0.0,0.794223826714802,0,8.4582,3,0,0,0,0,0,0,0,0,0,1.0,,1,7.9173,1,1,9,3,1.0,25.47895,1,0,14816,534.873646209386,0.334681153854842,0.279861780614782,11,0.397111913357401,0.115789473684211,20,0.72202166064982,3,3, , ,14697,398.228158844765,12375,0.2,276,43,28,11,11.5162454873646,4746,3224,1522,7154,5122,2032,3784,3250,534,87,69,18,147,125,22
411,2002860339,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860339?gameHash=9f42f99a762c0076&tab=overview,WC,2018-W,43379.9277777778,PI-KO,1,8.19,4,Blue,ADC,Hjarnan,G2 Esports,Kai'Sa,Ryze,Nocturne,Rakan,Irelia,Lucian,41.816666666666706,0,4,3,4,11,10,1,1,0,0,0,1,0,6.93478333333333,0.0956556396970905,0.143483459545636,0.502192108409725,0,11.15055,1,4,0,0,0,0,0,0,0,1,1.0,,0,9.54671666666667,0,0,4,8,0.0,34.2340166666667,0,1,23352,558.437624551614,0.268803094136335,0.245637008989798,8,0.19131127939418102,0.0459770114942529,10,0.239139099242726,2,2, , ,16176,257.840733359904,15600,-0.0111553784860558,343,38,32,0,9.111199681147868,3404,3893,-489,5133,6157,-1024,3148,3234,-86,85,95,-10,138,152,-14
428,2002860351,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860351?gameHash=4ca14bb40dd76404&tab=overview,WC,2018-W,43379.9958101852,PI-KO,2,8.19,9,Red,ADC,Hjarnan,G2 Esports,Kai'Sa,Nocturne,Rakan,Ryze,Gragas,Skarner,25.5666666666667,1,3,0,4,12,2,0,0,0,0,0,1,0,2.5097,0.117340286831812,0.0,0.547588005215124,0,16.38855,2,0,0,0,0,0,0,0,0,0,0.0,,1,15.766416666666698,1,1,9,1,1.0,23.9666,1,0,10533,411.98174706649297,0.202885430310502,0.240481820107516,6,0.23468057366362502,0.0857142857142857,8,0.31290743155149897,2,3, , ,11806,328.593481095176,8575,-0.0371959942775393,238,7,0,1,9.58279009126467,3334,3093,241,5995,5323,672,3346,3135,211,81,79,2,127,128,-1
435,2002860352,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860352?gameHash=bd1464a3eb49f110&tab=overview,WC,2018-W,43380.0270833333,PI-KO,3,8.19,4,Blue,ADC,Hjarnan,G2 Esports,Kai'Sa,Ryze,Nocturne,Gragas,LeBlanc,Lee Sin,42.4833333333333,1,7,1,11,24,15,1,1,0,0,0,0,0,3.09941666666667,0.164770498234602,0.117693213024716,0.9180070615927809,0,17.410683333333303,2,1,0,0,0,0,0,0,0,0,1.0,,1,13.911766666666699,1,1,11,4,0.0,26.242816666666698,2,1,34926,822.1106316202431,0.299095673620388,0.250827141430994,15,0.353079639074147,0.107142857142857,18,0.423695566888976,2,2, , ,19998,341.83852491172996,18050,-0.252239167271847,343,43,20,15,9.08591604550804,3370,3353,17,5180,5679,-499,3287,3118,169,92,92,0,144,154,-10
447,2002860354,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860354?gameHash=5ae67c5da6dd7921&tab=overview,WC,2018-W,43380.071238425895,PI-KO,4,8.19,4,Blue,ADC,Renyu,Infinity Esports,Kai'Sa,Heimerdinger,Akali,Aatrox,Camille,Lee Sin,40.55,0,3,3,7,14,18,0,0,0,0,0,0,0,5.70885,0.0739827373612824,0.123304562268804,0.7891491985203449,0,13.49985,3,1,0,0,0,0,0,0,0,0,1.0,,0,12.61175,1,1,10,7,1.0,31.5837166666667,2,0,25881,638.249075215783,0.328172550213025,0.232148010361073,20,0.493218249075216,0.127388535031847,16,0.394574599260173,8,8, , ,15922,263.45450061652303,15960,-0.0616365568544102,289,36,28,4,8.01479654747226,3189,3405,-216,5430,5783,-353,3298,3900,-602,85,95,-10,123,164,-41
464,2002860356,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860356?gameHash=2bc84eec8961c246&tab=overview,WC,2018-W,43380.1105671296,PI-KO,1,8.19,9,Red,ADC,Zeitnot,SuperMassive,Kai'Sa,Syndra,Urgot,Aatrox,Yasuo,Irelia,30.15,1,12,0,1,16,3,3,3,2,1,0,0,0,4.0506,0.398009950248756,0.0,0.630182421227197,0,15.0396166666667,3,0,0,0,0,0,0,0,0,0,1.0,,1,17.3188833333333,1,1,9,1,1.0,25.065233333333303,1,0,13539,449.05472636815904,0.269432835820895,0.304707507784107,10,0.33167495854063,0.10416666666666699,7,0.23217247097844101,4,5, , ,16140,403.78242122719706,14335,0.35627696733100506,292,24,13,4,10.480928689883902,3276,3456,-180,5239,5442,-203,3197,3539,-342,87,97,-10,149,160,-11
476,2002860363,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860363?gameHash=75263cbab11c6dce&tab=overview,WC,2018-W,43380.1520717593,PI-KO,2,8.19,9,Red,ADC,Stitch,G-Rex,Kai'Sa,Tahm Kench,Varus,Sion,Olaf,Galio,37.3,1,10,2,4,17,13,2,1,0,0,0,0,0,7.40813333333333,0.268096514745308,0.134048257372654,0.804289544235925,0,5.9011333333333305,1,4,0,0,0,0,0,0,0,0,0.0,,0,11.038183333333302,0,0,5,8,1.0,23.42765,1,1,28929,775.5764075067019,0.415975267812208,0.369132964409829,13,0.348525469168901,0.10077519379844999,13,0.348525469168901,3,3, , ,19903,403.80375335120596,18825,0.151428571428571,389,54,32,0,11.8766756032172,3412,3225,187,5267,5083,184,3343,3310,33,95,94,1,152,137,15
483,2002860365,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860365?gameHash=7384ad55310d3cc3&tab=overview,WC,2018-W,43380.1917361111,PI-KO,3,8.19,4,Blue,ADC,Stitch,G-Rex,Kai'Sa,Tahm Kench,Varus,Rakan,LeBlanc,Galio,37.4,1,6,3,9,18,12,2,0,0,0,0,1,0,8.53298333333333,0.16042780748663096,0.106951871657754,0.8021390374331551,0,13.594233333333301,2,2,0,1,0,0,0,0,0,0,1.0,,1,17.4187,1,1,9,1,1.0,26.896233333333303,2,0,24828,663.850267379679,0.362818021072321,0.301091997139485,14,0.374331550802139,0.1,15,0.401069518716578,5,6, , ,18579,366.995721925134,17650,0.126185815389249,327,42,29,6,9.86631016042781,3308,3336,-28,5296,5918,-622,3370,3522,-152,83,91,-8,138,143,-5
512,1002490120,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490120?gameHash=f135eab7520c7589&tab=overview,WC,2018-W,43383.0891782407,G,1,8.19,9,Red,ADC,Doublelift,Team Liquid,Kai'Sa,Irelia,Alistar,Akali,Taliyah,Camille,32.883333333333304,0,1,1,2,4,14,0,0,0,0,0,1,0,4.98336666666667,0.0304105423213381,0.12164216928535199,0.547389761784085,0,10.0578833333333,3,1,0,1,0,0,0,0,0,0,0.0,,0,17.2012833333333,0,0,2,10,0.0,23.66795,0,1,11197,340.506842372022,0.279512718739859,0.280926563543861,14,0.42574759249873295,0.10218978102189802,12,0.364926507856057,5,5, , ,13047,265.985200202737,12675,-0.00785854616895874,336,28,24,4,11.0694374049671,3442,3336,106,5239,4960,279,3291,3188,103,78,91,-13,135,137,-2
536,1002490142,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490142?gameHash=83c321490ffa84f2&tab=overview,WC,2018-W,43383.2147916667,G,1,8.19,9,Red,ADC,Betty,Flash Wolves,Kai'Sa,Jayce,Rakan,Kindred,Olaf,Camille,27.0833333333333,1,3,0,5,11,1,0,0,0,0,0,1,0,3.73166666666667,0.11076923076923101,0.0,0.443076923076923,0,9.3946,1,2,0,0,0,0,0,0,0,0,0.0,,1,12.84795,1,1,7,1,1.0,24.6238833333333,1,0,8358,308.603076923077,0.237936629942779,0.275530085959885,12,0.443076923076923,0.126315789473684,9,0.332307692307692,3,4, , ,12245,319.547076923077,11080,0.24917533620908397,258,17,12,0,10.1538461538462,3296,3139,157,5536,5009,527,3231,2948,283,82,84,-2,143,136,7
543,1002490152,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490152?gameHash=09c0087e40b1e94f&tab=overview,WC,2018-W,43383.2564583333,G,1,8.19,4,Blue,ADC,Kramer,Afreeca Freecs,Kai'Sa,Urgot,Irelia,Akali,LeBlanc,Ryze,36.033333333333296,0,1,1,1,3,7,0,0,0,0,0,0,0,3.52836666666667,0.0277520814061055,0.0555041628122109,0.277520814061055,0,20.2020333333333,1,2,0,0,0,0,0,0,0,0,,,0,18.364066666666698,0,0,2,11,0.0,31.0607,0,1,5616,155.855689176688,0.214818498259572,0.309986724736241,18,0.49953746530989795,0.13533834586466198,16,0.444033302497687,7,7, , ,15334,295.501942645698,15075,0.10765466620062901,410,26,26,0,12.099907493062,3524,3372,152,5305,5274,31,3317,3589,-272,97,95,2,150,155,-5
