,gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
560,1002490164,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490164?gameHash=9b89bd6dce212592&tab=overview,WC,2018-W,43383.3022800926,G,1,8.19,9,Red,ADC,Sneaky,Cloud9,Kai'Sa,Irelia,Tahm Kench,Akali,Ornn,Sion,25.1666666666667,0,0,4,0,3,11,0,0,0,0,0,0,1,5.74375,0.0,0.19867549668874201,0.556291390728477,0,9.98443333333333,0,3,0,0,0,0,0,0,0,0,0.0,,0,9.32763333333333,0,0,0,10,,,0,0,5775,229.47019867549702,0.191016438990507,0.216869248560602,7,0.278145695364238,0.112903225806452,0,0.0,1,1, , ,7763,175.11258278145698,6985,-0.455073265136854,193,13,8,0,8.18543046357616,2655,4561,-1906,4453,7079,-2626,2608,3688,-1080,63,92,-29,116,156,-40
572,1002490173,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490173?gameHash=27939d1dd9af56ea&tab=overview,WC,2018-W,43383.340763888904,G,1,8.19,9,Red,ADC,Attila,Vitality,Kai'Sa,Xayah,Aatrox,Varus,Camille,Vel'koz,43.9833333333333,1,2,3,8,15,18,0,0,0,0,0,0,0,6.58815,0.0454717696097006,0.0454717696097006,0.7502841985600609,1,6.70038333333333,2,3,2,0,0,1,0,1,0,0,1.0,,0,14.12695,0,1,9,3,1.0,25.8608,2,0,19248,437.620310723759,0.283701323585768,0.255856983604372,14,0.318302387267904,0.0945945945945946,28,0.6366047745358089,5,5, , ,19476,314.138082607048,18375,0.13352685050798302,397,59,31,5,10.3675634710117,3382,3095,287,5058,5440,-382,3265,3198,67,95,82,13,133,130,3
579,1002490189,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490189?gameHash=6bfcec8d3b4f1f6e&tab=overview,WC,2018-W,43384.083969907406,G,2,8.19,4,Blue,ADC,Betty,Flash Wolves,Kai'Sa,Tahm Kench,Irelia,Rakan,Darius,Ryze,42.033333333333296,1,8,0,2,12,2,1,1,0,0,0,0,0,14.906583333333302,0.190325138778747,0.0237906423473434,0.333068992862807,0,3.81708333333333,2,3,0,0,0,0,0,0,0,0,1.0,,1,17.9669333333333,0,0,9,3,1.0,33.1793,2,0,29860,710.388580491673,0.535989947944714,0.302692818237706,20,0.475812846946868,0.11834319526627197,27,0.642347343378271,6,6, , ,20881,367.815701823949,18275,0.0811387900355872,409,64,56,0,11.252973830293401,3422,3404,18,5144,5515,-371,3615,3334,281,99,95,4,151,162,-11
596,1002490208,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490208?gameHash=493918a1852a79b1&tab=overview,WC,2018-W,43384.1619212963,G,2,8.19,9,Red,ADC,Hjarnan,G2 Esports,Kai'Sa,Jayce,Tahm Kench,Kindred,Irelia,Akali,34.15,0,5,2,1,10,16,1,0,0,0,0,0,0,9.1588,0.14641288433382096,0.292825768667643,0.761346998535871,0,10.7037666666667,1,3,0,0,0,0,0,0,0,0,0.0,,0,11.893766666666698,0,0,1,10,0.0,23.1084833333333,0,2,14502,424.65592972181605,0.302894857763482,0.287123355495827,10,0.292825768667643,0.0714285714285714,9,0.263543191800878,4,4, , ,14198,285.283748169839,13850,-0.133108677337826,336,21,19,0,10.453879941434801,3132,3708,-576,4969,6153,-1184,3406,3578,-172,81,96,-15,138,148,-10
603,1002490218,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490218?gameHash=ce87539c384259bf&tab=overview,WC,2018-W,43384.2034837963,G,2,8.19,4,Blue,ADC,Rikara,100 Thieves,Kai'Sa,Akali,Pyke,Tristana,LeBlanc,Yasuo,27.15,0,1,3,0,1,16,0,0,0,0,0,0,0,11.3544166666667,0.0368324125230203,0.0368324125230203,0.626151012891344,0,6.02501666666667,0,3,0,0,0,0,0,0,0,0,1.0,,0,12.253433333333302,0,0,1,11,0.0,23.902133333333303,0,1,6990,257.458563535912,0.190173032974208,0.272752324552199,11,0.40515653775322297,0.132530120481928,5,0.184162062615101,3,3, , ,9577,220.19300184162103,8425,-0.291508238276299,239,7,7,0,9.06077348066298,3158,3431,-273,4885,6110,-1225,3050,3629,-579,80,97,-17,121,158,-37
615,1002490224,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490224?gameHash=a8a10c4e4ad01d43&tab=overview,WC,2018-W,43384.2417708333,G,2,8.19,4,Blue,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Gragas,Alistar,Urgot,Ornn,Lissandra,27.9,1,5,2,7,13,4,1,1,0,0,0,1,0,9.58811666666667,0.17921146953405,0.0,0.609318996415771,0,10.6158333333333,2,1,0,0,0,0,0,0,0,0,0.0,,0,15.390316666666699,1,0,7,3,1.0,24.9432666666667,1,0,14899,534.014336917563,0.287686574369075,0.24054706633093,7,0.25089605734767,0.0958904109589041,11,0.39426523297491,2,3, , ,12059,299.94408602150503,9375,0.161383285302594,262,8,8,0,9.677419354838712,3247,3256,-9,4942,4743,199,3091,3275,-184,82,83,-1,135,127,8
632,1002490230,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490230?gameHash=60b15edc146a4b24&tab=overview,WC,2018-W,43384.2809953704,G,2,8.19,9,Red,ADC,Sneaky,Cloud9,Kai'Sa,Tahm Kench,Irelia,Urgot,Syndra,Sion,47.55,1,6,3,7,17,16,0,0,0,0,0,0,0,3.17098333333333,0.126182965299685,0.14721345951629902,0.694006309148265,0,22.854933333333303,4,0,0,0,0,0,0,0,0,0,0.0,,0,13.332616666666699,0,0,8,8,0.0,27.661833333333302,1,2,33425,702.9442691903259,0.30845399259895,0.271655038978646,16,0.336487907465825,0.0930232558139535,19,0.39957939011566795,7,7, , ,21484,323.623133543638,19025,-0.177463776793198,409,21,21,0,9.04311251314406,3035,3455,-420,5134,5967,-833,2673,3029,-356,76,79,-3,132,135,-3
651,1002490250,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490250?gameHash=b4db2ea4a2de11a9&tab=overview,WC,2018-W,43385.0851041667,G,3,8.19,4,Blue,ADC,Breeze,MAD Team,Kai'Sa,Akali,Xayah,Alistar,Kindred,Ryze,26.25,0,1,1,0,2,14,0,0,0,0,0,0,0,8.1714,0.0380952380952381,0.0761904761904762,0.60952380952381,0,6.7829,0,3,0,0,0,0,0,0,0,0,0.0,,0,10.63515,0,0,0,10,0.0,21.4874333333333,0,1,3984,151.771428571429,0.14749000444247,0.302199535962877,6,0.22857142857142898,0.0625,7,0.266666666666667,0,0, , ,10001,248.091428571429,9950,-0.12042502951593902,239,15,12,0,9.67619047619048,3162,3480,-318,4725,6312,-1587,2937,3460,-523,80,98,-18,125,153,-28
663,1002490264,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490264?gameHash=731c41a2e8cd3826&tab=overview,WC,2018-W,43385.1492361111,G,3,8.19,4,Blue,ADC,Doublelift,Team Liquid,Kai'Sa,Irelia,Akali,Xayah,Taliyah,Syndra,27.733333333333302,0,0,3,4,5,16,0,0,0,0,0,0,1,6.18546666666667,0.0,0.14423076923076902,0.757211538461538,0,13.184716666666699,1,1,0,0,0,0,0,0,0,0,,,0,16.37125,0,0,1,8,0.0,23.8217833333333,0,1,10459,377.12740384615404,0.27328786809856,0.261438617329856,10,0.36057692307692296,0.12345679012345698,11,0.396634615384615,3,3, , ,9745,219.044711538462,9675,-0.43478260869565205,242,12,9,0,9.158653846153848,3240,3525,-285,5082,6368,-1286,3156,3301,-145,71,89,-18,127,156,-29
680,1002490278,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490278?gameHash=7fde5889c23a5bbb&tab=overview,WC,2018-W,43385.184826388904,G,3,8.19,9,Red,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Alistar,Pyke,Urgot,LeBlanc,Skarner,27.283333333333303,1,11,1,8,21,9,1,1,1,0,0,1,0,3.50688333333333,0.40317654245571205,0.109957238851558,1.0995723885155801,0,16.5564833333333,1,1,0,1,0,0,0,0,0,0,1.0,,0,8.54471666666667,1,1,9,2,1.0,24.0653166666667,1,0,21715,795.9071472205251,0.320881296824435,0.296217762860857,13,0.47648136835675003,0.1625,10,0.36652412950519203,7,7, , ,14506,399.178497251069,12925,0.14968814968815,243,8,8,0,9.19975565058033,4103,4176,-73,6349,5924,425,3356,3406,-50,81,71,10,139,123,16
692,1002490286,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490286?gameHash=abecd278d015fecb&tab=overview,WC,2018-W,43385.22,G,3,8.19,9,Red,ADC,Stitch,G-Rex,Kai'Sa,Aatrox,Taliyah,Alistar,Ryze,Syndra,37.95,0,6,5,2,10,23,0,0,0,0,0,0,1,7.75791666666667,0.158102766798419,0.23715415019762803,0.8695652173913041,0,13.156033333333301,0,3,0,1,0,0,0,0,0,0,1.0,,0,8.17925,1,0,2,11,0.0,29.1226666666667,0,1,28614,753.99209486166,0.404621171413219,0.330835195010705,17,0.447957839262187,0.131782945736434,11,0.289855072463768,6,6, , ,16294,299.692226613966,13850,-0.23285486443381198,345,28,16,4,9.82872200263505,3228,3477,-249,5050,5294,-244,3121,2740,381,87,73,14,138,131,7
747,1002490346,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490346?gameHash=577a51ca1af3a4a3&tab=overview,WC,2018-W,43386.1904513889,G,4,8.19,4,Blue,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Aatrox,Urgot,Tahm Kench,LeBlanc,Kindred,20.4333333333333,1,6,0,7,15,7,2,0,0,0,0,0,0,2.38473333333333,0.293637846655791,0.0,1.07667210440457,0,17.5022666666667,1,0,0,0,0,0,0,0,0,0,1.0,,1,12.518683333333302,1,1,8,1,,,0,0,12885,630.587275693312,0.387390637683774,0.287010815349615,7,0.34257748776509,0.137254901960784,6,0.293637846655791,2,2, , ,10775,391.436867862969,8350,0.32752613240418105,201,3,3,0,9.9836867862969,3637,3176,461,6445,4933,1512,3365,3084,281,93,81,12,147,135,12
759,1002490356,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490356?gameHash=37b3e7348b76218a&tab=overview,WC,2018-W,43386.2248958333,G,4,8.19,4,Blue,ADC,Stitch,G-Rex,Kai'Sa,Irelia,Akali,Rakan,LeBlanc,Olaf,24.1166666666667,0,1,4,4,5,16,0,0,0,0,0,0,0,4.03973333333333,0.0414651002073255,0.20732550103662803,0.8707671043538359,0,8.01545,0,2,0,0,0,0,0,0,0,0,0.0,,0,11.947616666666699,0,0,1,9,0.0,21.52585,0,1,8570,355.35590877678004,0.338040391290628,0.243198269731009,7,0.29025570145127805,0.0972222222222222,4,0.165860400829302,1,2, , ,8220,207.015342087077,8000,-0.212290502793296,211,8,8,0,9.08085694540428,3169,3827,-658,4849,5870,-1021,2818,3511,-693,68,87,-19,120,144,-24
800,1002490385,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490385?gameHash=12375fe73567b08f&tab=overview,WC,2018-W,43387.096875,G,5,8.19,9,Red,ADC,Uzi,Royal Never Give Up,Kai'Sa,LeBlanc,Akali,Urgot,Varus,Nocturne,32.2,0,4,0,0,9,13,0,0,0,0,1,0,0,3.10461666666667,0.12422360248447198,0.18633540372670798,0.6832298136645961,0,7.60723333333333,3,1,1,1,0,1,0,0,0,0,0.0,,1,13.726033333333302,0,0,3,8,0.0,27.8149333333333,0,1,12091,375.49689440993797,0.314231508914185,0.337476423752199,13,0.40372670807453404,0.131313131313131,6,0.18633540372670798,4,4, , ,14881,331.183850931677,14850,-0.0282157676348548,309,56,44,4,11.3354037267081,3514,3293,221,6008,5980,28,3093,3245,-152,79,89,-10,140,129,11
824,1002490409,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490409?gameHash=b703b9578e5896b4&tab=overview,WC,2018-W,43387.194525463,G,5,8.19,9,Red,ADC,Ruler,Gen.G,Kai'Sa,Sion,Nocturne,Thresh,Xin Zhao,Kindred,34.85,0,2,2,0,6,12,0,0,0,0,0,0,0,8.60998333333333,0.0573888091822095,0.0860832137733142,0.516499282639885,0,8.28708333333333,2,1,0,0,0,0,0,0,0,0,0.0,,0,9.20756666666667,0,0,3,8,,,0,0,12877,369.497847919656,0.296206841027764,0.283433918520023,15,0.430416068866571,0.120967741935484,20,0.573888091822095,5,5, , ,14028,272.216929698709,13925,-0.0265721877767936,341,24,20,0,10.473457675753199,3363,3473,-110,5527,5379,148,3441,3455,-14,92,96,-4,148,149,-1
836,1002490417,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490417?gameHash=30a3d834c90023c8&tab=overview,WC,2018-W,43387.2356597222,G,5,8.19,9,Red,ADC,Uzi,Royal Never Give Up,Kai'Sa,Nocturne,Draven,Thresh,Aatrox,LeBlanc,30.05,0,0,2,4,4,13,0,0,0,0,0,0,0,8.45721666666667,0.0,0.133111480865225,0.5657237936772049,0,10.47525,1,2,0,1,0,0,0,0,0,0,1.0,,1,12.0647666666667,0,0,3,8,0.0,27.252583333333302,0,1,11657,387.920133111481,0.287302213240006,0.279591151506633,12,0.399334442595674,0.130434782608696,8,0.26622296173044896,4,5, , ,11115,238.312146422629,9650,-0.130750605326877,274,13,13,0,9.550748752079869,3109,3057,52,4887,5062,-175,3238,3284,-46,75,68,7,123,117,6
884,1002490445,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490445?gameHash=feebe9a13d464c21&tab=overview,WC,2018-W,43388.098715277796,G,6,8.19,9,Red,ADC,Betty,Flash Wolves,Kai'Sa,Alistar,Urgot,Camille,Swain,Ryze,31.05,0,0,0,1,1,5,0,0,0,0,0,0,0,9.49263333333333,0.0,0.0966183574879227,0.193236714975845,1,11.278083333333301,1,2,1,0,0,0,0,1,0,0,0.0,,0,13.795966666666699,0,0,0,7,,,0,0,7630,245.73268921095,0.275710052757101,0.272346040123359,12,0.38647342995169104,0.106194690265487,16,0.5152979066022539,4,4, , ,10929,220.704669887279,10750,-0.0846325167037862,279,23,14,0,9.726247987117551,2985,3426,-441,4814,5317,-503,2840,3329,-489,70,94,-24,128,148,-20
932,1002490482,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490482?gameHash=41641e904c94c46e&tab=overview,WC,2018-W,43388.2921412037,G,6,8.19,9,Red,ADC,BigKoro,Phong Vu Buffalo,Kai'Sa,Alistar,Tahm Kench,Urgot,Varus,Xayah,41.95,1,10,5,7,23,26,1,0,0,0,0,0,0,2.0676,0.23837902264600697,0.23837902264600697,1.16805721096544,0,12.925466666666699,2,3,0,0,0,0,0,0,1,0,1.0,,1,12.861666666666698,1,1,10,7,1.0,31.1733666666667,2,0,37559,895.327771156138,0.284568060248814,0.258862380100797,19,0.452920143027414,0.113095238095238,27,0.6436233611442189,6,7, , ,20696,364.37949940405196,18610,0.009990549480221409,341,40,29,3,9.08224076281287,3285,3034,251,5926,5005,921,3135,2982,153,79,61,18,114,107,7
944,1002490488,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490488?gameHash=6cf78fb31d528217&tab=overview,WC,2018-W,43388.3376736111,G,6,8.19,9,Red,ADC,Kramer,Afreeca Freecs,Kai'Sa,Heimerdinger,Akali,Urgot,Syndra,Lissandra,40.066666666666706,1,5,1,10,16,6,2,1,0,0,0,1,0,9.0608,0.124792013311148,0.0249584026622296,0.549084858569052,0,13.389383333333301,2,2,0,0,0,0,0,0,0,0,1.0,,0,10.5529666666667,1,0,8,7,0.0,27.4692,1,1,23423,584.600665557404,0.356422234733783,0.294718385008432,20,0.499168053244592,0.11834319526627197,21,0.524126455906822,7,7, , ,19265,351.545091514143,17875,0.03125,384,47,35,6,10.757071547421,3579,3342,237,5270,5557,-287,3288,3133,155,91,93,-2,139,151,-12
968,1002490513,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490513?gameHash=e26d26f632b67b1f&tab=overview,WC,2018-W,43389.0972106481,G,7,8.19,9,Red,ADC,Deft,KT Rolster,Kai'Sa,Sion,Tahm Kench,Shen,Galio,Ornn,26.85,1,6,0,3,12,4,2,1,0,0,1,0,0,6.8961833333333304,0.223463687150838,0.037243947858473,0.595903165735568,0,6.34858333333333,1,2,0,1,0,0,0,0,0,0,1.0,,1,12.460516666666699,1,1,8,3,1.0,24.3542333333333,1,0,13775,513.035381750465,0.296772664598414,0.324990842714464,11,0.40968342644320294,0.11702127659574499,6,0.223463687150838,3,3, , ,14209,396.53482309124803,12435,0.226997985224983,277,29,13,8,11.3966480446927,3744,3154,590,5493,4861,632,3243,3036,207,94,84,10,146,137,9
980,1002490525,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490525?gameHash=f3468bcc17735d56&tab=overview,WC,2018-W,43389.1495601852,G,7,8.19,9,Red,ADC,iBOY,Edward Gaming,Kai'Sa,Tahm Kench,Aatrox,Taliyah,Varus,Sivir,39.85,1,11,2,11,24,7,3,1,0,0,0,0,1,2.7628666666666697,0.27603513174404,0.0501882057716437,0.777917189460477,1,10.5964333333333,2,2,1,0,1,0,0,0,0,0,1.0,,1,16.4368333333333,1,1,11,0,1.0,27.954,2,0,46298,1161.8067754077802,0.439505985323853,0.289527466080486,18,0.45169385194479295,0.125,28,0.7026348808030111,8,8, , ,20748,391.33651191969903,19000,0.231487462563862,355,59,40,12,10.3889585947302,3282,3552,-270,5316,5452,-136,3403,3319,84,87,88,-1,158,147,11
992,1002490532,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490532?gameHash=d85338141d2072c0&tab=overview,WC,2018-W,43389.192719907405,G,7,8.19,9,Red,ADC,Doublelift,Team Liquid,Kai'Sa,Irelia,Alistar,Urgot,Camille,Sion,33.2833333333333,1,5,0,3,13,6,0,0,0,0,0,0,0,6.80821666666667,0.150225338007011,0.0600901352028042,0.57085628442664,0,9.06115,4,0,1,0,0,0,0,1,0,0,0.0,,0,17.39875,0,0,11,3,1.0,24.1567,2,0,18643,560.130195292939,0.365112316640881,0.286450094246882,15,0.4506760140210321,0.126050420168067,15,0.4506760140210321,4,4, , ,17054,381.708162243365,15400,0.18633540372670798,346,44,9,20,11.7175763645468,3598,3207,391,5765,5202,563,2967,3137,-170,84,86,-2,157,150,7
999,1002490539,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490539?gameHash=b0f854a436fad83b&tab=overview,WC,2018-W,43389.2325347222,G,7,8.19,4,Blue,ADC,iBOY,Edward Gaming,Kai'Sa,Aatrox,Tahm Kench,Nocturne,Lissandra,Galio,36.566666666666706,1,5,3,12,18,13,1,1,0,0,0,0,1,5.6038,0.136736554238833,0.109389243391067,0.847766636280766,1,13.047866666666698,2,2,1,1,0,0,1,0,0,0,1.0,,0,13.055016666666699,1,0,9,3,1.0,28.354583333333302,2,0,23457,641.485870556062,0.335959095401097,0.279041133253384,12,0.3281677301732,0.0991735537190083,15,0.4102096627165,3,3, , ,17642,352.524339106654,16125,0.0941558441558442,337,74,35,25,11.2397447584321,3165,3743,-578,6019,5881,138,2854,2855,-1,75,73,2,136,111,25
1023,1002490550,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490550?gameHash=676d43b14d612cb0&tab=overview,WC,2018-W,43389.3131481481,G,7,8.19,4,Blue,ADC,Deft,KT Rolster,Kai'Sa,Tahm Kench,Urgot,Rakan,Syndra,Kindred,24.966666666666697,1,8,0,2,16,4,1,1,1,0,0,0,0,2.5382166666666697,0.32042723631508696,0.0,0.8010680907877171,0,14.378583333333301,2,0,0,0,0,0,0,0,0,0,1.0,,1,11.433383333333301,1,1,8,3,1.0,21.7557333333333,1,0,14869,595.554072096128,0.395767899920149,0.288741690604411,14,0.5607476635514019,0.172839506172839,7,0.28037383177570097,6,6, , ,13122,392.142056074766,10050,0.330434782608696,252,12,8,0,10.5740987983979,3774,2893,881,6655,4610,2045,3446,2979,467,95,71,24,162,123,39
1040,1002490569,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490569?gameHash=ea661486276a3438&tab=overview,WC,2018-W,43390.0927893519,G,8,8.19,9,Red,ADC,Rikara,100 Thieves,Kai'Sa,Akali,Rakan,Aatrox,Ornn,Shen,32.3333333333333,0,0,4,2,4,14,0,0,0,0,0,0,0,4.89626666666667,0.0,0.0927835051546392,0.556701030927835,0,12.60645,1,2,0,0,0,0,0,0,0,0,0.0,,0,16.5495,0,0,1,9,0.0,29.923733333333303,0,1,8137,251.659793814433,0.190637958906356,0.247354687440911,12,0.37113402061855705,0.106194690265487,8,0.247422680412371,4,4, , ,10774,202.292783505155,9450,-0.340285400658617,273,20,20,0,9.061855670103089,3209,3384,-175,4851,5255,-404,2994,3158,-164,86,95,-9,131,149,-18
1052,1002490580,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490580?gameHash=5933dfa62496f6b2&tab=overview,WC,2018-W,43390.153090277796,G,8,8.19,9,Red,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Alistar,Nocturne,Gragas,LeBlanc,Skarner,25.533333333333303,1,3,1,2,13,5,1,0,0,0,0,0,0,5.08526666666667,0.117493472584856,0.0391644908616188,0.7049608355091379,0,12.91355,1,1,0,0,0,0,0,0,0,0,1.0,,1,12.9999,1,1,10,0,1.0,22.0174,1,0,10472,410.130548302872,0.248481397114655,0.226562491317177,8,0.31331592689295,0.13114754098360698,5,0.195822454308094,3,3, , ,11555,319.351958224543,11075,0.19851116625310197,265,12,12,0,10.848563968668401,3454,3405,49,5382,5253,129,3268,3219,49,98,96,2,156,155,1
1076,1002490594,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490594?gameHash=be4ec1cc4cccaf05&tab=overview,WC,2018-W,43390.224513888905,G,8,8.19,9,Red,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Urgot,Aatrox,Alistar,Kindred,Taliyah,29.35,1,3,4,8,21,12,1,0,0,0,0,0,0,4.4213333333333305,0.10221465076661,0.0340715502555366,1.12436115843271,0,15.1406,2,0,0,0,0,0,0,0,0,0,,,0,14.12165,1,1,10,2,1.0,24.4853,1,0,12586,428.824531516184,0.159763388720344,0.205585785574415,8,0.272572402044293,0.0930232558139535,12,0.40885860306644,3,3, , ,12981,310.492674616695,12950,0.299667036625971,266,20,20,0,9.744463373083471,3448,2844,604,5592,4744,848,3263,2936,327,95,68,27,148,118,30
1095,1002490615,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002490615?gameHash=02f8f95fcb04c46a&tab=overview,WC,2018-W,43390.3061689815,G,8,8.19,4,Blue,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Swain,Tahm Kench,Sion,Sivir,Xayah,28.716666666666697,0,1,4,1,4,15,0,0,0,0,0,0,0,6.42063333333333,0.0348229831688915,0.174114915844457,0.661636680208938,0,16.9360166666667,1,1,0,0,0,0,0,0,0,0,0.0,,0,15.558616666666698,0,0,1,8,0.0,26.502616666666697,0,1,8010,278.932095182821,0.186131895710369,0.253533309087459,9,0.313406848520023,0.0841121495327103,8,0.278583865351132,3,3, , ,10204,223.33650609402198,9375,-0.273878020713464,257,12,12,0,9.3673824724318,3405,3400,5,5125,5172,-47,3337,3417,-80,96,88,8,148,147,1
